case_id,reason_code,expected_minor,observed_minor,matched_minor
REC-LEGACY-0046,exact_match,39425761,39425761,39425761
REC-LEGACY-0047,exact_match,3487802,3487802,3487802
REC-LEGACY-0048,exact_match,3631845,3631845,3631845
REC-LEGACY-0049,exact_match,2985166,2985166,2985166
REC-LEGACY-0050,exact_match,2318825,2318825,2318825
REC-LEGACY-0051,exact_match,7165231,7165231,7165231
REC-LEGACY-0052,exact_match,75735,75735,75735
REC-LEGACY-0053,exact_match,49749126,49749126,49749126
REC-LEGACY-0054,exact_match,26525928,26525928,26525928
REC-LEGACY-0055,exact_match,3740616,3740616,3740616
REC-LEGACY-0056,exact_match,2050147,2050147,2050147
REC-LEGACY-0057,exact_match,35254899,35254899,35254899
REC-LEGACY-0058,exact_match,543746,543746,543746
REC-LEGACY-0059,exact_match,1939638,1939638,1939638
REC-LEGACY-0060,exact_match,163618,163618,163618
REC-LEGACY-0061,exact_match,602562,602562,602562
REC-LEGACY-0062,exact_match,4986954,4986954,4986954
REC-LEGACY-0063,exact_match,15061451,15061451,15061451
REC-LEGACY-0064,exact_match,4268940,4268940,4268940
REC-LEGACY-0065,exact_match,2462391,2462391,2462391
REC-LEGACY-0066,exact_match,3934653,3934653,3934653
REC-LEGACY-0067,exact_match,3134307,3134307,3134307
REC-LEGACY-0068,exact_match,37696851,37696851,37696851
REC-LEGACY-0069,exact_match,48771224,48771224,48771224
REC-LEGACY-0070,exact_match,37756265,37756265,37756265
REC-LEGACY-0071,exact_match,3675133,3675133,3675133
REC-LEGACY-0072,exact_match,1142154,1142154,1142154
REC-LEGACY-0073,exact_match,9988619,9988619,9988619
REC-LEGACY-0074,exact_match,4663427,4663427,4663427
REC-LEGACY-0075,exact_match,2493552,2493552,2493552
REC-LEGACY-0076,exact_match,3839157,3839157,3839157
REC-LEGACY-0077,exact_match,2803314,2803314,2803314
REC-LEGACY-0078,exact_match,426154,426154,426154
REC-LEGACY-0079,exact_match,368605516,368605516,368605516
REC-LEGACY-0080,exact_match,2863613,2863613,2863613
REC-LEGACY-0081,exact_match,194731,194731,194731
REC-LEGACY-0082,exact_match,3590880,3590880,3590880
REC-LEGACY-0083,exact_match,39919018,39919018,39919018
REC-LEGACY-0084,exact_match,4766621,4766621,4766621
REC-LEGACY-0085,exact_match,648990,648990,648990
REC-LEGACY-0086,exact_match,2585925,2585925,2585925
REC-LEGACY-0087,exact_match,49518665,49518665,49518665
REC-LEGACY-0088,exact_match,160841,160841,160841
REC-LEGACY-0089,exact_match,3091879,3091879,3091879
REC-LEGACY-0090,exact_match,23969270,23969270,23969270
REC-LEGACY-0091,exact_match,26340847,26340847,26340847
REC-LEGACY-0092,exact_match,1940208,1940208,1940208
REC-LEGACY-0093,exact_match,1159608,1159608,1159608
REC-LEGACY-0094,exact_match,45863535,45863535,45863535
REC-LEGACY-0095,exact_match,2118643,2118643,2118643
REC-LEGACY-0096,exact_match,4963302,4963302,4963302
REC-LEGACY-0097,exact_match,1404487,1404487,1404487
REC-LEGACY-0098,exact_match,478971,478971,478971
REC-LEGACY-0099,exact_match,4583472,4583472,4583472
REC-LEGACY-0100,exact_match,2871571,2871571,2871571
REC-LEGACY-0101,exact_match,1769622,1769622,1769622
REC-LEGACY-0102,exact_match,3985405,3985405,3985405
REC-LEGACY-0103,exact_match,3366465,3366465,3366465
REC-LEGACY-0104,exact_match,149098,149098,149098
REC-LEGACY-0105,exact_match,333640,333640,333640
REC-LEGACY-0106,exact_match,4515398,4515398,4515398
REC-LEGACY-0107,exact_match,312196,312196,312196
REC-LEGACY-0108,exact_match,3544466,3544466,3544466
REC-LEGACY-0109,exact_match,860527,860527,860527
REC-LEGACY-0110,exact_match,468064,468064,468064
REC-LEGACY-0111,exact_match,5227312,5227312,5227312
REC-LEGACY-0112,exact_match,3658355,3658355,3658355
REC-LEGACY-0113,exact_match,4906167,4906167,4906167
REC-LEGACY-0114,exact_match,4372440,4372440,4372440
REC-LEGACY-0115,exact_match,4463413,4463413,4463413
REC-LEGACY-0116,exact_match,11289735,11289735,11289735
REC-LEGACY-0117,exact_match,23438937,23438937,23438937
REC-LEGACY-0118,exact_match,46046314,46046314,46046314
REC-LEGACY-0119,exact_match,2289437,2289437,2289437
REC-LEGACY-0120,exact_match,684024,684024,684024
REC-LEGACY-0121,exact_match,153256,153256,153256
REC-LEGACY-0122,exact_match,1306300,1306300,1306300
REC-LEGACY-0123,exact_match,49992827,49992827,49992827
REC-LEGACY-0124,exact_match,35662303,35662303,35662303
REC-LEGACY-0125,exact_match,4974255,4974255,4974255
REC-LEGACY-0126,exact_match,1958541,1958541,1958541
REC-LEGACY-0127,exact_match,21649367,21649367,21649367
REC-LEGACY-0128,exact_match,468736,468736,468736
REC-LEGACY-0129,exact_match,23779945,23779945,23779945
REC-LEGACY-0130,exact_match,2205301,2205301,2205301
REC-LEGACY-0131,exact_match,3967617,3967617,3967617
REC-LEGACY-0132,exact_match,3961732,3961732,3961732
REC-LEGACY-0133,exact_match,35840294,35840294,35840294
REC-LEGACY-0134,exact_match,2358062,2358062,2358062
REC-LEGACY-0135,exact_match,1214717,1214717,1214717
REC-LEGACY-0136,exact_match,14179593,14179593,14179593
REC-LEGACY-0137,exact_match,4694651,4694651,4694651
REC-LEGACY-0138,exact_match,2869253,2869253,2869253
REC-LEGACY-0139,exact_match,377941,377941,377941
REC-LEGACY-0140,exact_match,27652225,27652225,27652225
REC-LEGACY-0141,exact_match,3757168,3757168,3757168
REC-LEGACY-0142,exact_match,3490521,3490521,3490521
REC-LEGACY-0143,exact_match,4878200,4878200,4878200
REC-LEGACY-0144,exact_match,45403152,45403152,45403152
REC-LEGACY-0145,exact_match,2041848,2041848,2041848
REC-LEGACY-0146,exact_match,3619868,3619868,3619868
REC-LEGACY-0147,exact_match,1192073,1192073,1192073
REC-LEGACY-0148,exact_match,518510,518510,518510
REC-LEGACY-0149,exact_match,403544,403544,403544
REC-LEGACY-0150,exact_match,2010960,2010960,2010960
REC-LEGACY-0151,exact_match,6706459,6706459,6706459
REC-LEGACY-0152,exact_match,3626525,3626525,3626525
REC-LEGACY-0153,exact_match,18522748,18522748,18522748
REC-LEGACY-0154,exact_match,3607026,3607026,3607026
REC-LEGACY-0155,exact_match,2702177,2702177,2702177
REC-LEGACY-0156,exact_match,2265736,2265736,2265736
REC-LEGACY-0157,exact_match,254537871,254537871,254537871
REC-LEGACY-0158,exact_match,2551120,2551120,2551120
REC-LEGACY-0159,exact_match,3029995,3029995,3029995
REC-LEGACY-0160,exact_match,3178838,3178838,3178838
REC-LEGACY-0161,exact_match,3471021,3471021,3471021
REC-LEGACY-0162,exact_match,23986401,23986401,23986401
REC-LEGACY-0163,exact_match,2145232,2145232,2145232
REC-LEGACY-0164,exact_match,47538141,47538141,47538141
REC-LEGACY-0165,exact_match,4246321,4246321,4246321
REC-LEGACY-0166,exact_match,248026177,248026177,248026177
REC-LEGACY-0167,exact_match,39116273,39116273,39116273
REC-LEGACY-0168,exact_match,2335919,2335919,2335919
REC-LEGACY-0169,exact_match,1586089,1586089,1586089
REC-LEGACY-0170,exact_match,3070167,3070167,3070167
REC-LEGACY-0171,exact_match,2606797,2606797,2606797
REC-LEGACY-0172,exact_match,4630873,4630873,4630873
REC-LEGACY-0173,exact_match,3447890,3447890,3447890
REC-LEGACY-0174,exact_match,2548878,2548878,2548878
REC-LEGACY-0175,exact_match,10465560,10465560,10465560
REC-LEGACY-0176,exact_match,38229305,38229305,38229305
REC-LEGACY-0177,exact_match,2028505,2028505,2028505
REC-LEGACY-0178,exact_match,44208578,44208578,44208578
REC-LEGACY-0179,exact_match,2166613,2166613,2166613
REC-LEGACY-0180,exact_match,2304494,2304494,2304494
REC-LEGACY-0181,exact_match,36756872,36756872,36756872
REC-LEGACY-0182,exact_match,4205893,4205893,4205893
REC-LEGACY-0183,exact_match,2247856,2247856,2247856
REC-LEGACY-0184,exact_match,42988513,42988513,42988513
REC-LEGACY-0185,exact_match,2134508,2134508,2134508
REC-LEGACY-0186,exact_match,3506614,3506614,3506614
REC-LEGACY-0187,exact_match,3209686,3209686,3209686
REC-LEGACY-0188,exact_match,37654896,37654896,37654896
REC-LEGACY-0189,exact_match,2455010,2455010,2455010
REC-LEGACY-0190,exact_match,29328847,29328847,29328847
REC-LEGACY-0191,exact_match,10447194,10447194,10447194
REC-LEGACY-0192,exact_match,730685,730685,730685
REC-LEGACY-0193,exact_match,1710980,1710980,1710980
REC-LEGACY-0194,exact_match,722705,722705,722705
REC-LEGACY-0195,exact_match,388008,388008,388008
REC-LEGACY-0196,exact_match,3749712,3749712,3749712
REC-LEGACY-0197,exact_match,1541725,1541725,1541725
REC-LEGACY-0198,exact_match,2719297,2719297,2719297
REC-LEGACY-0199,exact_match,1259003,1259003,1259003
REC-LEGACY-0200,exact_match,2768705,2768705,2768705
REC-LEGACY-0201,exact_match,316433066,316433066,316433066
REC-LEGACY-0202,exact_match,33240077,33240077,33240077
REC-LEGACY-0203,exact_match,1415550,1415550,1415550
REC-LEGACY-0204,exact_match,4031200,4031200,4031200
REC-LEGACY-0205,exact_match,1377909,1377909,1377909
REC-LEGACY-0206,exact_match,4949941,4949941,4949941
REC-LEGACY-0207,exact_match,3376514,3376514,3376514
REC-LEGACY-0208,exact_match,48766312,48766312,48766312
REC-LEGACY-0209,exact_match,2385915,2385915,2385915
REC-LEGACY-0210,exact_match,997144,997144,997144
REC-LEGACY-0211,exact_match,48169581,48169581,48169581
REC-LEGACY-0212,exact_match,40777522,40777522,40777522
REC-LEGACY-0213,exact_match,2227006,2227006,2227006
REC-LEGACY-0214,exact_match,4089425,4089425,4089425
REC-LEGACY-0215,exact_match,4786502,4786502,4786502
REC-LEGACY-0216,exact_match,37174762,37174762,37174762
REC-LEGACY-0217,exact_match,3505819,3505819,3505819
REC-LEGACY-0218,exact_match,476068,476068,476068
REC-LEGACY-0219,exact_match,2887132,2887132,2887132
REC-LEGACY-0220,exact_match,887806,887806,887806
REC-LEGACY-0221,exact_match,2377638,2377638,2377638
REC-LEGACY-0222,exact_match,4135744,4135744,4135744
REC-LEGACY-0223,exact_match,4509525,4509525,4509525
REC-LEGACY-0224,exact_match,710951,710951,710951
REC-LEGACY-0225,exact_match,3526571,3526571,3526571
REC-LEGACY-0226,exact_match,929648,929648,929648
REC-LEGACY-0227,exact_match,2383119,2383119,2383119
REC-LEGACY-0228,exact_match,3723979,3723979,3723979
REC-LEGACY-0229,exact_match,47298631,47298631,47298631
REC-LEGACY-0230,exact_match,1267093,1267093,1267093
REC-LEGACY-0231,exact_match,1560382,1560382,1560382
REC-LEGACY-0232,exact_match,1071303,1071303,1071303
REC-LEGACY-0233,exact_match,2001972,2001972,2001972
REC-LEGACY-0234,exact_match,365022,365022,365022
REC-LEGACY-0235,exact_match,33877227,33877227,33877227
REC-LEGACY-0236,exact_match,40270173,40270173,40270173
REC-LEGACY-0237,exact_match,1126981,1126981,1126981
REC-LEGACY-0238,exact_match,27729810,27729810,27729810
REC-LEGACY-0239,exact_match,4255973,4255973,4255973
REC-LEGACY-0240,exact_match,4028439,4028439,4028439
REC-LEGACY-0241,exact_match,4637951,4637951,4637951
REC-LEGACY-0242,exact_match,38527084,38527084,38527084
REC-LEGACY-0243,exact_match,49533574,49533574,49533574
REC-LEGACY-0244,exact_match,3165166,3165166,3165166
REC-LEGACY-0245,exact_match,47457274,47457274,47457274
REC-LEGACY-0246,exact_match,1022750,1022750,1022750
REC-LEGACY-0247,exact_match,371313799,371313799,371313799
REC-LEGACY-0248,exact_match,1200761,1200761,1200761
REC-LEGACY-0249,exact_match,33124797,33124797,33124797
REC-LEGACY-0250,exact_match,223003,223003,223003
REC-LEGACY-0251,exact_match,1383171,1383171,1383171
REC-LEGACY-0252,exact_match,22167699,22167699,22167699
REC-LEGACY-0253,exact_match,42875729,42875729,42875729
REC-LEGACY-0254,exact_match,2155035,2155035,2155035
REC-LEGACY-0255,exact_match,401641,401641,401641
REC-LEGACY-0256,exact_match,1018009,1018009,1018009
REC-LEGACY-0257,exact_match,3217186,3217186,3217186
REC-LEGACY-0258,exact_match,2211621,2211621,2211621
REC-LEGACY-0259,exact_match,1159214,1159214,1159214
REC-LEGACY-0260,exact_match,2013037,2013037,2013037
REC-LEGACY-0261,exact_match,1924843,1924843,1924843
REC-LEGACY-0262,exact_match,38268739,38268739,38268739
REC-LEGACY-0263,exact_match,39979022,39979022,39979022
REC-LEGACY-0264,exact_match,4948094,4948094,4948094
REC-LEGACY-0265,exact_match,4418992,4418992,4418992
REC-LEGACY-0266,exact_match,4465058,4465058,4465058
REC-LEGACY-0267,exact_match,224465,224465,224465
REC-LEGACY-0268,exact_match,1993780,1993780,1993780
REC-LEGACY-0269,exact_match,235354,235354,235354
REC-LEGACY-0270,exact_match,15749046,15749046,15749046
REC-LEGACY-0271,exact_match,44986668,44986668,44986668
REC-LEGACY-0272,exact_match,1954755,1954755,1954755
REC-LEGACY-0273,exact_match,12414163,12414163,12414163
REC-LEGACY-0274,exact_match,17841517,17841517,17841517
REC-LEGACY-0275,exact_match,10596841,10596841,10596841
REC-LEGACY-0276,exact_match,3494503,3494503,3494503
REC-LEGACY-0277,exact_match,1983332,1983332,1983332
REC-LEGACY-0278,exact_match,47551823,47551823,47551823
REC-LEGACY-0279,exact_match,571281,571281,571281
REC-LEGACY-0280,exact_match,1459655,1459655,1459655
REC-LEGACY-0281,exact_match,2055829,2055829,2055829
REC-LEGACY-0282,exact_match,2129685,2129685,2129685
REC-LEGACY-0283,exact_match,2141143,2141143,2141143
REC-LEGACY-0284,exact_match,239811,239811,239811
REC-LEGACY-0285,exact_match,4845055,4845055,4845055
REC-LEGACY-0286,exact_match,2301195,2301195,2301195
REC-LEGACY-0287,exact_match,806419,806419,806419
REC-LEGACY-0288,exact_match,2471396,2471396,2471396
REC-LEGACY-0289,exact_match,2351417,2351417,2351417
REC-LEGACY-0290,exact_match,2158646,2158646,2158646
REC-LEGACY-0291,exact_match,16409519,16409519,16409519
REC-LEGACY-0292,exact_match,468717,468717,468717
REC-LEGACY-0293,exact_match,4081205,4081205,4081205
REC-LEGACY-0294,exact_match,1617646,1617646,1617646
REC-LEGACY-0295,exact_match,1025732,1025732,1025732
REC-LEGACY-0296,exact_match,2470999,2470999,2470999
REC-LEGACY-0297,exact_match,36601677,36601677,36601677
REC-LEGACY-0298,exact_match,3265108,3265108,3265108
REC-LEGACY-0299,exact_match,4438999,4438999,4438999
REC-LEGACY-0300,exact_match,3650955,3650955,3650955
REC-LEGACY-0301,exact_match,2283246,2283246,2283246
REC-LEGACY-0302,exact_match,3518401,3518401,3518401
REC-LEGACY-0303,exact_match,1528576,1528576,1528576
REC-LEGACY-0304,exact_match,27949998,27949998,27949998
REC-LEGACY-0305,exact_match,1135625,1135625,1135625
REC-LEGACY-0306,exact_match,843303,843303,843303
REC-LEGACY-0307,exact_match,1388172,1388172,1388172
REC-LEGACY-0308,exact_match,4138028,4138028,4138028
REC-LEGACY-0309,exact_match,4795448,4795448,4795448
REC-LEGACY-0310,exact_match,1148158,1148158,1148158
REC-LEGACY-0311,exact_match,952818,952818,952818
REC-LEGACY-0312,exact_match,339100,339100,339100
REC-LEGACY-0313,exact_match,4198901,4198901,4198901
REC-LEGACY-0314,exact_match,3799139,3799139,3799139
REC-LEGACY-0315,exact_match,40423804,40423804,40423804
REC-LEGACY-0316,exact_match,34798382,34798382,34798382
REC-LEGACY-0317,exact_match,4741987,4741987,4741987
REC-LEGACY-0318,exact_match,1481273,1481273,1481273
REC-LEGACY-0319,exact_match,37407965,37407965,37407965
REC-LEGACY-0320,exact_match,4185450,4185450,4185450
REC-LEGACY-0321,exact_match,1323826,1323826,1323826
REC-LEGACY-0322,exact_match,23610998,23610998,23610998
REC-LEGACY-0323,exact_match,15170872,15170872,15170872
REC-LEGACY-0324,exact_match,2377968,2377968,2377968
REC-LEGACY-0325,exact_match,1410961,1410961,1410961
REC-LEGACY-0326,exact_match,2049471,2049471,2049471
REC-LEGACY-0327,exact_match,3517740,3517740,3517740
REC-LEGACY-0328,exact_match,4669978,4669978,4669978
REC-LEGACY-0329,exact_match,33218902,33218902,33218902
REC-LEGACY-0330,exact_match,15624503,15624503,15624503
REC-LEGACY-0331,exact_match,1793608,1793608,1793608
REC-LEGACY-0332,exact_match,4434869,4434869,4434869
REC-LEGACY-0333,exact_match,4955559,4955559,4955559
REC-LEGACY-0334,exact_match,2360763,2360763,2360763
REC-LEGACY-0335,exact_match,663855,663855,663855
REC-LEGACY-0336,exact_match,18542800,18542800,18542800
REC-LEGACY-0337,exact_match,1619946,1619946,1619946
REC-LEGACY-0338,exact_match,1624095,1624095,1624095
REC-LEGACY-0339,exact_match,379947,379947,379947
REC-LEGACY-0340,exact_match,29631145,29631145,29631145
REC-LEGACY-0341,exact_match,4621064,4621064,4621064
REC-LEGACY-0342,exact_match,1314790,1314790,1314790
REC-LEGACY-0343,exact_match,4082685,4082685,4082685
REC-LEGACY-0344,exact_match,577955,577955,577955
REC-LEGACY-0345,exact_match,3972918,3972918,3972918
REC-LEGACY-0346,exact_match,4699177,4699177,4699177
REC-LEGACY-0347,exact_match,4856631,4856631,4856631
REC-LEGACY-0348,exact_match,44964893,44964893,44964893
REC-LEGACY-0349,exact_match,315371489,315371489,315371489
REC-LEGACY-0350,exact_match,637551,637551,637551
REC-LEGACY-0351,exact_match,3950395,3950395,3950395
REC-LEGACY-0352,exact_match,4898282,4898282,4898282
REC-LEGACY-0353,exact_match,4129223,4129223,4129223
REC-LEGACY-0354,exact_match,35767439,35767439,35767439
REC-LEGACY-0355,exact_match,46431632,46431632,46431632
REC-LEGACY-0356,exact_match,2615423,2615423,2615423
REC-LEGACY-0357,exact_match,3796829,3796829,3796829
REC-LEGACY-0358,exact_match,3660463,3660463,3660463
REC-LEGACY-0359,exact_match,3868453,3868453,3868453
REC-LEGACY-0360,exact_match,957455,957455,957455
REC-LEGACY-0361,exact_match,3059353,3059353,3059353
REC-LEGACY-0362,exact_match,2481548,2481548,2481548
REC-LEGACY-0363,exact_match,770500,770500,770500
REC-LEGACY-0364,exact_match,2547302,2547302,2547302
REC-LEGACY-0365,exact_match,2620530,2620530,2620530
REC-LEGACY-0366,exact_match,4632580,4632580,4632580
REC-LEGACY-0367,exact_match,3030472,3030472,3030472
REC-LEGACY-0368,exact_match,3304918,3304918,3304918
REC-LEGACY-0369,exact_match,958723,958723,958723
REC-LEGACY-0370,exact_match,3117880,3117880,3117880
REC-LEGACY-0371,exact_match,35453,35453,35453
REC-LEGACY-0372,exact_match,4953678,4953678,4953678
REC-LEGACY-0373,exact_match,32963570,32963570,32963570
REC-LEGACY-0374,exact_match,3397127,3397127,3397127
REC-LEGACY-0375,exact_match,4497562,4497562,4497562
REC-LEGACY-0376,exact_match,3419465,3419465,3419465
REC-LEGACY-0377,exact_match,1082144,1082144,1082144
REC-LEGACY-0378,exact_match,1431859,1431859,1431859
REC-LEGACY-0379,exact_match,91748,91748,91748
REC-LEGACY-0380,exact_match,4734012,4734012,4734012
REC-LEGACY-0381,exact_match,26340770,26340770,26340770
REC-LEGACY-0382,exact_match,1610783,1610783,1610783
REC-LEGACY-0383,exact_match,1280982,1280982,1280982
REC-LEGACY-0384,exact_match,4266924,4266924,4266924
REC-LEGACY-0385,exact_match,21988170,21988170,21988170
REC-LEGACY-0386,exact_match,374335,374335,374335
REC-LEGACY-0387,exact_match,933611,933611,933611
REC-LEGACY-0388,exact_match,3702586,3702586,3702586
REC-LEGACY-0389,exact_match,3735106,3735106,3735106
REC-LEGACY-0390,exact_match,2086493,2086493,2086493
REC-LEGACY-0391,exact_match,2378762,2378762,2378762
REC-LEGACY-0392,exact_match,443103,443103,443103
REC-LEGACY-0393,exact_match,4013426,4013426,4013426
REC-LEGACY-0394,exact_match,40329392,40329392,40329392
REC-LEGACY-0395,exact_match,4452167,4452167,4452167
REC-LEGACY-0396,exact_match,19261225,19261225,19261225
REC-LEGACY-0397,exact_match,3290053,3290053,3290053
REC-LEGACY-0398,exact_match,4236778,4236778,4236778
REC-LEGACY-0399,exact_match,2699507,2699507,2699507
REC-LEGACY-0400,exact_match,4959242,4959242,4959242
REC-LEGACY-0401,exact_match,8136197,8136197,8136197
REC-LEGACY-0402,exact_match,4418557,4418557,4418557
REC-LEGACY-0403,exact_match,326565383,326565383,326565383
REC-LEGACY-0404,exact_match,3030494,3030494,3030494
REC-LEGACY-0405,exact_match,47894566,47894566,47894566
REC-LEGACY-0406,exact_match,1492933,1492933,1492933
REC-LEGACY-0407,exact_match,4164006,4164006,4164006
REC-LEGACY-0408,exact_match,2273004,2273004,2273004
REC-LEGACY-0409,exact_match,44378752,44378752,44378752
REC-LEGACY-0410,exact_match,2394905,2394905,2394905
REC-LEGACY-0411,exact_match,3571231,3571231,3571231
REC-LEGACY-0412,exact_match,42541047,42541047,42541047
REC-LEGACY-0413,exact_match,27079443,27079443,27079443
REC-LEGACY-0414,exact_match,3659274,3659274,3659274
REC-LEGACY-0415,exact_match,30626949,30626949,30626949
REC-LEGACY-0416,exact_match,478676,478676,478676
REC-LEGACY-0417,exact_match,4083848,4083848,4083848
REC-LEGACY-0418,exact_match,88568104,88568104,88568104
REC-LEGACY-0419,exact_match,1082142,1082142,1082142
REC-LEGACY-0420,exact_match,43533311,43533311,43533311
REC-LEGACY-0421,exact_match,2188445,2188445,2188445
REC-LEGACY-0422,exact_match,35165195,35165195,35165195
REC-LEGACY-0423,exact_match,25812434,25812434,25812434
REC-LEGACY-0424,exact_match,24813468,24813468,24813468
REC-LEGACY-0425,exact_match,4090040,4090040,4090040
REC-LEGACY-0426,exact_match,3446103,3446103,3446103
REC-LEGACY-0427,exact_match,449052,449052,449052
REC-LEGACY-0428,exact_match,10969996,10969996,10969996
REC-LEGACY-0429,exact_match,2559380,2559380,2559380
REC-LEGACY-0430,exact_match,16705541,16705541,16705541
REC-LEGACY-0431,exact_match,707342,707342,707342
REC-LEGACY-0432,exact_match,711299,711299,711299
REC-LEGACY-0433,exact_match,28599743,28599743,28599743
REC-LEGACY-0434,exact_match,2660644,2660644,2660644
REC-LEGACY-0435,exact_match,39021973,39021973,39021973
REC-LEGACY-0436,exact_match,3612646,3612646,3612646
REC-LEGACY-0437,exact_match,41210657,41210657,41210657
REC-LEGACY-0438,exact_match,42751241,42751241,42751241
REC-LEGACY-0439,exact_match,3334951,3334951,3334951
REC-LEGACY-0440,exact_match,4930008,4930008,4930008
REC-LEGACY-0441,exact_match,47068800,47068800,47068800
REC-LEGACY-0442,exact_match,3498059,3498059,3498059
REC-LEGACY-0443,exact_match,2518548,2518548,2518548
REC-LEGACY-0444,exact_match,38798407,38798407,38798407
REC-LEGACY-0445,exact_match,2189214,2189214,2189214
REC-LEGACY-0446,exact_match,3020149,3020149,3020149
REC-LEGACY-0447,exact_match,2507873,2507873,2507873
REC-LEGACY-0448,exact_match,3056234,3056234,3056234
REC-LEGACY-0449,exact_match,365485273,365485273,365485273
REC-LEGACY-0450,exact_match,1794789,1794789,1794789
REC-LEGACY-0451,exact_match,4103583,4103583,4103583
REC-LEGACY-0452,exact_match,22620116,22620116,22620116
REC-LEGACY-0453,exact_match,2431574,2431574,2431574
REC-LEGACY-0454,exact_match,5014808,5014808,5014808
REC-LEGACY-0455,exact_match,3874680,3874680,3874680
REC-LEGACY-0456,exact_match,4670681,4670681,4670681
REC-LEGACY-0457,exact_match,584250,584250,584250
REC-LEGACY-0458,exact_match,647818,647818,647818
REC-LEGACY-0459,exact_match,3746727,3746727,3746727
REC-LEGACY-0460,exact_match,3943398,3943398,3943398
REC-LEGACY-0461,exact_match,155376,155376,155376
REC-LEGACY-0462,exact_match,21564644,21564644,21564644
REC-LEGACY-0463,exact_match,45643267,45643267,45643267
REC-LEGACY-0464,exact_match,2029939,2029939,2029939
REC-LEGACY-0465,exact_match,3312029,3312029,3312029
REC-LEGACY-0466,exact_match,16001987,16001987,16001987
REC-LEGACY-0467,exact_match,3267551,3267551,3267551
REC-LEGACY-0468,exact_match,13006466,13006466,13006466
REC-LEGACY-0469,exact_match,4142413,4142413,4142413
REC-LEGACY-0470,exact_match,3256520,3256520,3256520
